Date,TCS,INFY,WIPRO,HDFCBANK,ICICIBANK,SBIN,RELIANCE,LT,HINDUNILVR,ITC,MARUTI,SUNPHARMA,BHARTIARTL,TATASTEEL,NIFTY50
2016-01-04,1205.0,1087.0,567.0,1045.0,248.0,198.0,1012.0,1245.0,842.0,325.0,4125.0,812.0,342.0,298.0,7791.0
2016-01-05,1175.09,1082.98,568.31,1041.98,243.14,189.83,997.59,1245.41,836.61,319.99,4055.97,820.21,335.98,298.53,7718.79
2016-01-06,1204.95,1106.55,577.02,1066.34,248.97,193.82,1037.25,1260.23,818.75,322.32,4095.16,832.6,341.81,298.85,7824.77
2016-01-07,1210.1,1077.68,562.4,1077.28,251.56,191.43,1028.71,1233.11,815.7,313.73,4005.3,824.92,338.24,289.47,7766.64
2016-01-08,1198.13,1063.02,559.51,1070.08,252.16,187.24,1014.62,1230.89,806.65,315.07,4047.88,846.04,326.71,291.16,7724.95
2016-01-11,1188.01,1070.63,574.73,1089.63,255.03,189.09,1039.77,1220.48,818.14,314.62,4071.05,844.49,329.22,286.99,7773.98
2016-01-12,1180.88,1074.49,583.82,1101.3,261.81,201.02,1034.44,1234.05,814.44,324.11,4206.4,844.69,334.68,297.64,7859.82
2016-01-13,1186.17,1091.61,590.78,1089.04,263.76,204.42,1038.16,1217.0,809.03,322.52,4287.78,855.34,344.7,303.52,7896.54
2016-01-14,1168.26,1081.44,571.98,1068.44,261.59,198.84,1036.18,1205.68,827.91,323.54,4213.88,839.36,341.47,313.1,7852.25
2016-01-15,1169.61,1080.2,570.76,1080.85,262.38,203.23,1057.42,1213.77,821.35,323.04,4278.79,843.89,349.95,325.21,7913.61
2016-01-18,1174.95,1071.14,579.14,1079.61,266.04,209.62,1045.75,1244.34,837.16,324.31,4326.75,855.39,353.65,339.55,7972.69
2016-01-19,1206.23,1092.73,603.34,1111.49,275.89,219.39,1056.93,1242.05,852.22,324.7,4366.39,861.58,349.84,341.86,8090.42
2016-01-20,1197.74,1088.19,591.95,1102.1,279.6,218.91,1053.14,1205.15,873.19,333.15,4493.37,867.25,355.49,349.06,8114.42
2016-01-21,1221.04,1094.02,593.81,1078.03,273.42,221.07,1038.3,1202.01,871.85,327.95,4575.1,878.78,365.58,358.42,8118.14
2016-01-22,1192.7,1104.23,583.9,1057.73,265.77,219.68,1010.07,1178.82,850.57,326.81,4415.06,840.84,367.58,354.09,8005.25
2016-01-25,1190.42,1095.13,581.68,1093.93,274.61,231.37,1020.52,1201.89,867.42,331.03,4344.11,871.86,369.49,372.76,8118.53
2016-01-26,1205.71,1106.89,591.66,1099.66,275.01,233.86,1044.1,1205.22,864.47,331.7,4434.6,900.44,379.6,379.83,8197.2
2016-01-27,1192.6,1111.98,595.43,1089.25,264.62,223.05,1031.54,1218.41,874.55,328.97,4334.37,899.94,375.19,387.78,8141.79
2016-01-28,1181.89,1119.91,592.92,1106.65,265.96,221.89,1067.43,1245.5,859.89,327.97,4412.28,886.84,381.14,401.54,8198.32
2016-01-29,1167.58,1109.5,568.25,1129.95,268.04,226.49,1070.82,1281.87,856.17,329.09,4468.37,904.08,392.02,403.84,8237.33
2016-02-01,1154.16,1122.01,550.46,1160.93,271.42,228.13,1056.68,1288.77,869.88,332.65,4500.41,906.18,385.03,398.54,8253.41
2016-02-02,1147.51,1124.65,550.32,1180.13,276.32,231.75,1076.62,1308.22,871.7,344.17,4650.32,951.39,393.12,420.06,8368.37
2016-02-03,1118.34,1115.73,541.19,1147.92,271.67,217.34,1024.92,1272.62,867.02,340.91,4582.68,953.9,383.35,414.04,8212.46
2016-02-04,1117.31,1110.34,542.24,1126.24,268.75,213.86,1021.95,1265.64,838.97,333.73,4542.02,943.42,378.7,410.16,8139.31
2016-02-05,1148.68,1139.02,552.12,1114.1,263.57,213.18,1041.41,1306.27,831.81,323.88,4625.03,991.41,389.0,432.93,8216.95
2016-02-08,1152.66,1161.48,567.05,1128.81,262.57,213.38,1079.84,1341.73,833.96,326.98,4543.78,1031.06,401.0,439.24,8311.32
2016-02-09,1157.28,1128.49,556.02,1138.38,268.85,219.6,1083.96,1360.31,834.41,319.39,4554.37,1036.11,411.5,430.17,8327.79
2016-02-10,1155.19,1125.7,545.31,1144.86,272.87,217.26,1116.27,1352.2,829.84,317.68,4536.64,1019.66,405.98,429.19,8333.38
2016-02-11,1156.85,1089.82,536.51,1129.45,272.33,221.75,1123.36,1337.23,819.13,318.44,4531.51,995.47,419.48,420.57,8303.5
2016-02-12,1144.33,1046.7,531.23,1091.82,264.28,220.06,1089.76,1320.4,825.06,306.84,4409.37,954.63,413.22,410.25,8153.1
2016-02-15,1123.13,1022.16,515.01,1071.6,259.43,218.42,1085.47,1320.8,809.44,304.92,4540.53,959.33,410.58,424.77,8100.85
2016-02-16,1115.76,1007.16,521.46,1043.62,246.33,214.86,1077.65,1322.44,798.63,303.27,4462.58,944.32,401.94,410.89,7994.68
2016-02-17,1099.68,988.24,493.81,1042.2,246.21,212.38,1063.15,1313.53,784.5,296.64,4461.46,930.23,411.89,420.87,7941.54
2016-02-18,1118.75,990.04,493.19,1028.29,246.09,201.75,1060.69,1282.71,765.34,292.43,4352.44,930.3,418.45,399.94,7876.01
2016-02-19,1116.21,982.45,486.26,1036.63,251.58,207.19,1046.41,1332.81,755.18,288.8,4374.15,937.04,419.73,421.84,7910.75
2016-02-22,1114.25,982.78,481.39,1046.04,252.03,206.74,1057.35,1357.62,736.86,288.46,4356.47,959.24,414.74,433.78,7926.3
2016-02-23,1101.21,942.73,477.72,1013.04,239.13,200.26,1043.2,1358.86,734.37,285.5,4233.32,955.25,406.44,430.29,7798.18
2016-02-24,1084.44,926.41,474.67,1024.3,243.44,203.5,1037.62,1367.09,728.52,281.52,4289.66,959.33,401.96,439.56,7799.64
2016-02-25,1110.29,936.92,478.45,1023.05,248.76,209.65,1063.32,1397.94,720.37,285.48,4330.35,965.81,408.96,456.52,7894.37
2016-02-26,1093.07,894.88,466.63,1043.74,250.94,214.69,1102.34,1423.36,723.79,286.97,4355.87,955.6,400.71,479.89,7933.39
2016-02-29,1097.13,898.71,467.54,1059.44,263.99,223.36,1097.21,1423.16,741.9,275.77,4463.58,920.2,404.4,498.87,8002.94
2016-03-01,1122.95,903.73,462.02,1059.19,261.8,222.51,1100.02,1399.96,744.49,273.92,4552.75,889.34,401.26,497.52,8001.68
2016-03-02,1107.36,892.07,456.59,1054.4,256.95,220.2,1079.75,1409.46,740.09,272.65,4665.11,870.03,405.09,472.05,7935.77
2016-03-03,1067.12,851.83,432.02,1031.06,250.18,212.48,1048.78,1387.3,734.86,262.97,4529.15,839.06,398.15,454.06,7749.26
2016-03-04,1065.84,851.43,426.88,1018.51,247.91,208.98,1047.37,1354.44,726.59,260.31,4565.29,814.23,398.29,449.62,7699.58
2016-03-07,1098.34,858.2,429.17,1010.03,242.9,213.99,1028.08,1354.31,735.51,256.28,4641.29,793.02,414.63,424.37,7696.15
2016-03-08,1064.64,831.56,424.03,993.2,235.83,213.88,1046.65,1365.4,725.8,255.84,4535.67,786.13,401.74,425.08,7620.88
2016-03-09,1104.21,863.85,434.78,1022.76,250.46,230.05,1048.65,1406.94,740.54,264.55,4718.26,779.61,409.78,443.6,7814.91
2016-03-10,1076.5,854.67,417.93,1001.14,248.68,220.18,1031.65,1334.32,747.63,260.41,4666.3,752.92,412.15,421.88,7691.12
2016-03-11,1076.83,846.64,405.11,1011.32,249.48,222.09,1031.49,1331.78,762.68,260.47,4586.8,744.33,419.3,424.92,7701.74
2016-03-14,1056.37,845.91,390.71,1025.88,245.69,218.75,1040.68,1338.52,765.22,262.04,4651.22,754.95,420.29,432.48,7705.76
2016-03-15,1028.15,828.08,387.57,1016.39,243.08,215.21,1049.96,1324.77,757.77,263.68,4525.07,755.32,406.23,438.5,7644.31
2016-03-16,1023.74,827.03,389.17,985.46,234.38,211.59,1047.4,1321.96,739.66,265.24,4567.0,752.3,411.62,428.81,7582.73
2016-03-17,1014.79,792.16,385.6,971.59,225.57,202.47,1037.4,1322.0,728.68,256.37,4380.52,732.01,382.69,405.23,7419.72
2016-03-18,995.82,788.8,380.87,955.33,228.55,197.81,1040.17,1327.31,715.07,255.46,4343.96,717.22,379.57,407.03,7374.21
2016-03-21,987.37,781.81,375.71,933.07,226.15,197.12,1026.36,1305.65,704.32,252.26,4477.09,716.19,376.53,405.9,7318.29
