Date,TCS,INFY,WIPRO,HDFCBANK,ICICIBANK,SBIN,RELIANCE,LT,HINDUNILVR,ITC,MARUTI,SUNPHARMA,BHARTIARTL,TATASTEEL
2016-01-04,10403826,26675905,4379704,3906109,17336736,11599404,31846159,15225764,12039174,18779095,22055040,10722757,25057068,14727682
2016-01-05,1114314,15290765,1802292,5585591,12989167,15462235,28921240,28629952,20946989,23382932,32175319,4725310,33997838,17336128
2016-01-06,5067479,17891095,16586863,8204945,45402492,10603295,37206658,35488244,11963807,5599665,39142734,8947172,62350428,18570531
2016-01-07,100000,16873763,5462407,4440759,48104878,8954196,11364498,22179137,20583627,28132407,21995502,4545745,36351044,14433651
2016-01-08,5123527,29435581,10656716,7352246,22966639,13995551,85801799,30200388,24779823,20271636,11474442,5617367,62782812,7478351
2016-01-11,6182029,25795259,16629036,8723070,100000,18127044,85827838,20249304,21067851,13093494,58142138,6733573,70011717,18866898
2016-01-12,538298,27092548,5550599,8839681,287356,6310357,72096679,35224497,13660591,34016447,16693032,11029762,64626683,10927083
2016-01-13,6499665,38080786,3004299,10584937,49646518,19944327,50836897,36587546,12021798,13270880,53713809,5968332,78964288,20724715
2016-01-14,3888485,27448234,15279175,1339039,48518531,13113227,23697211,27392363,25268230,11682519,14917832,10510431,74632885,6547322
2016-01-15,9058801,25187393,4339370,4162417,53353695,9239854,35394399,2235254,28039843,22711034,24341991,3875117,72081505,23781061
2016-01-18,7280356,25597170,6454151,10855748,28121901,5433501,61946513,15207086,17673198,16931271,33609374,100000,43396000,21492532
2016-01-19,4288112,30373022,5807183,3204600,100000,8763919,39715790,49261765,21461864,11377702,78951780,100000,100000,10284205
2016-01-20,5270693,9772289,8751406,3653915,37351151,20389668,49221625,100000,20034336,20385375,40372233,5777963,17649712,9316773
2016-01-21,10442983,21277762,726512,5173578,22672594,5462699,17546524,45082330,10317062,10382203,41783607,1894296,45387794,10832228
2016-01-22,5543715,34734974,10649597,9503665,56552198,15098109,25016104,24287255,16197472,15527182,34295067,100000,61296345,13415698
2016-01-25,1924559,100000,10012320,2725222,40278696,5640858,35612947,35566150,18047097,6735929,20512282,6631545,74455035,14713266
2016-01-26,2523078,21082497,11636948,1878310,32984423,14536978,76653759,29593524,25777757,10981270,49423156,10696540,33616632,16278932
2016-01-27,5329158,25907945,11554502,3566199,24053189,13196496,54831864,31642687,14133235,29011246,37397169,5224680,67263427,13752546
2016-01-28,9191432,15855679,9966256,8690128,50126837,20923086,30790092,34336240,6276533,10628974,62773290,7041907,50823132,8015117
2016-01-29,4441088,9039811,6881309,6172148,19257800,7403039,40501579,30096867,14171220,17272881,15664128,9787275,54552995,12528319
2016-02-01,2663479,20621011,8360852,100000,9199990,11016070,83730813,27647270,13883743,9512379,61587440,4609984,64808380,11891556
2016-02-02,5908990,35077434,5475854,5516476,31207320,5564947,66945488,64431925,9550803,22587811,41137575,10965478,72566900,29257656
2016-02-03,6845885,16569848,8909345,4636126,46317777,14992845,24629143,27167766,23044523,15991644,22344696,3719320,33148294,4773684
2016-02-04,7400569,11967238,4913697,7022832,54609606,15035243,53070142,33217322,23642997,3959749,42498797,6947127,41263255,26020692
2016-02-05,879200,23156032,8679182,5392338,6373477,6050808,52725314,34347893,100000,13095167,21834951,5225624,95364011,8673504
2016-02-08,6811858,100000,6335144,5823995,49062465,100000,68121777,26630323,25039029,12609282,58888966,6193955,5789530,5712860
2016-02-09,6647891,13481004,4802389,5101058,29058268,4713880,21033662,20985501,17593180,11595554,34746114,13199989,85476114,11198641
2016-02-10,4587135,11711149,12388251,2752664,42117650,100000,37938132,27908959,16099555,16944815,22090979,4588209,36513969,21269093
2016-02-11,9224084,31534527,11344097,5942565,8579922,5877904,74561664,32500228,19131598,5304170,26632318,1284655,57740872,20269293
2016-02-12,7213327,25042580,8353919,3580119,24232619,4443406,68310233,38014878,1962225,8283015,22319346,12955063,75245051,15046306
2016-02-15,3361674,25634181,1044380,5452557,39707192,12043819,34778576,41058344,11653964,27752862,65189156,7186681,96665733,14805259
